note_id,comment_id,user_id,nickname,content,time,like_count,gender,ip_location,level
6803758b000000001c0064b1,6814f7360000000004014d37,63398ff6000000001901d77d,客服祥子,假的，学校活动都不参加都被课塞满了，只有周末是闲的[哭惹R],1970-01-01 08:00:00,0,男性,湖南,二级
6803758b000000001c0064b1,681653fe000000001f001e81,591a89216a6a69644564f097,船长不迷航,看专业吧，有的专业不是很忙,1970-01-01 08:00:00,0,女性,甘肃,二级
6803758b000000001c0064b1,68176eaf000000001f029e1c,67029ef6000000001d0225e1,璃羽,阿蝶好可爱[哇R],1970-01-01 08:00:00,0,未知,江苏,一级
6803758b000000001c0064b1,68176eca000000001f000562,67029ef6000000001d0225e1,璃羽,老师也好还原好美,1970-01-01 08:00:00,0,未知,江苏,二级
6803758b000000001c0064b1,6804c404000000001f02b38b,658cdf91000000002200ac98,重八,这是啥bbm,1970-01-01 08:00:00,0,男性,浙江,一级
6803758b000000001c0064b1,6804c408000000001f003c28,658cdf91000000002200ac98,重八,bgm,1970-01-01 08:00:00,0,男性,浙江,二级
6803758b000000001c0064b1,68085c63000000001f008725,6076c6fa00000000010001ee,夜yefanxing,原神,1970-01-01 08:00:00,0,男性,浙江,二级
6803758b000000001c0064b1,6810adc60000000013013088,6602de7e000000000600e6f6,小红薯660413A2,啊？不是吧,1970-01-01 08:00:00,0,未知,山西,二级
6803758b000000001c0064b1,68047b52000000001e03423a,678e59fc000000000d00a09b,呆番,同班的都認不清了 還同校[抠鼻R],1970-01-01 08:00:00,55,男性,中国台湾,一级
6803758b000000001c0064b1,68048cc20000000012022de8,643bd072000000000d018b22,Denis,我大四快毕业了都没认齐我们班同学[捂脸R],1970-01-01 08:00:00,8,未知,新疆,二级
6803758b000000001c0064b1,680721b30000000020014691,66b18300000000001e00a892,番茄脱脂西红柿加糖,COS都是浓装，加美颜，基本不可能被同班认出来,1970-01-01 08:00:00,3,女性,云南,二级
6803758b000000001c0064b1,6811ef12000000000400f2c6,63630ff2000000001f0161e4,好心态决定一切,只能说作者别被某些评论影响了，讲的都是啥玩意儿[石化R],1970-01-01 08:00:00,1,女性,安徽,一级
6803758b000000001c0064b1,681172d7000000001301183c,636f7d8a000000001f014d37,天狼啸月,[飞吻R][飞吻R],1970-01-01 08:00:00,0,男性,澳大利亚,一级
6803758b000000001c0064b1,68110418000000001f007081,65731838000000002002d26c,小红薯657465F9,anon[哇R][哇R],1970-01-01 08:00:00,3,未知,江苏,一级
6803758b000000001c0064b1,6803e5dc0000000020011b17,6417fbff000000001102222f,月华如剑照万川,大晚上刷到遐蝶，一定是提醒我不能熬夜了，再熬就要死了,1970-01-01 08:00:00,33,男性,浙江,一级
6803758b000000001c0064b1,6803f40b000000001200a962,60f56449000000000100973c,旌旗长缨,谢谢你，这就睡[飞吻R],1970-01-01 08:00:00,0,男性,上海,二级
6803758b000000001c0064b1,6803f9ce000000001e03e88c,6788c0f1000000000801ec3a,丹恒保底别歪,有道理[偷笑R][偷笑R][偷笑R][偷笑R],1970-01-01 08:00:00,0,男性,广西,二级
6803758b000000001c0064b1,6804e352000000001f018a19,5ba850c5b9d34d0001e6a46a,踏浪而至,问哪来这么多时间的没上过大学是罢[doge],1970-01-01 08:00:00,9,男性,上海,一级
6803758b000000001c0064b1,6805b64f00000000040169f7,638732bc000000001f0152cd,林间风清,[笑哭R][笑哭R][笑哭R],1970-01-01 08:00:00,0,男性,广东,二级
6803758b000000001c0064b1,68037c35000000001f000149,65940e5d0000000022017ff6,狐洛洛,果断关注[doge],1970-01-01 08:00:00,3,未知,四川,一级
6803758b000000001c0064b1,6803812d0000000012012df3,623ea9f0000000001000cf89,时宇,有眼光[doge],1970-01-01 08:00:00,1,男性,辽宁,二级
6803758b000000001c0064b1,68061c72000000001f00a725,5b782899afee9300011e7a2d,HAOYUN,我要听多少遍反方向的钟才能回到自主学习周哇,1970-01-01 08:00:00,1,女性,广东,一级
6803758b000000001c0064b1,680747e9000000001f008ad3,5f77e90900000000010031c6,冥冥不困zzz,补药上课,1970-01-01 08:00:00,2,女性,广东,二级
6803758b000000001c0064b1,680bde3f0000000013010655,5fc35e3800000000010023cc,稻爷,随便找了个学生证拍下打个马赛克[doge],1970-01-01 08:00:00,2,男性,湖北,一级
6803758b000000001c0064b1,6803cd08000000000401a3ee,6728334a000000001c018d8e,珑,除了职业cos，剩下的基本都是大学生吧，别的哪有空[笑哭R],1970-01-01 08:00:00,14,未知,河北,一级
6803758b000000001c0064b1,68090ec30000000013012f95,648c0b26000000001f00605f,轩辕,bgm是什么[黑薯问号R]总能听到,1970-01-01 08:00:00,2,男性,辽宁,一级
6803758b000000001c0064b1,6805ea6f00000000040168dc,5e28a676000000000100a8ad,凛,主要是什么出cos来不及换直接去上课去答辩这种剧本真的很精彩人，刷到这个直接想拉黑了,1970-01-01 08:00:00,0,未知,贵州,一级
6803758b000000001c0064b1,68040ef7000000001f01bb93,5c42026e000000000603b404,正花,笑死 根本没有陌生人问你[坏笑R],1970-01-01 08:00:00,5,男性,广西,一级
6803758b000000001c0064b1,680802610000000012002412,62d0f034000000000303cf96,奥古斯汀,老师好美！,1970-01-01 08:00:00,0,男性,澳大利亚,一级
6803758b000000001c0064b1,6804a3f9000000001200b6b4,678dca5c000000000e01d3d7,̇ ̇,my global passive can't be this cute,1970-01-01 08:00:00,0,未知,马来西亚,一级
6803758b000000001c0064b1,680bc6460000000012023a61,6268e55d0000000010008080,玖月,看着嘴巴有些歪，经常用右边咬合吗,1970-01-01 08:00:00,2,未知,广东,一级
6803758b000000001c0064b1,680540ef000000001f00b06c,6390981a000000001f019322,鱼京鲸,老师cos好精致,1970-01-01 08:00:00,0,男性,江西,一级
6803758b000000001c0064b1,680482440000000012013e03,67e421db000000000a03f145,小红薯67E53750,高p+化妆，能认出来才有鬼,1970-01-01 08:00:00,7,未知,广东,一级
6803758b000000001c0064b1,6803d692000000001e03f80a,6486e9490000000011002224,乾元,有点像河野华和宋轶的合体[哇R],1970-01-01 08:00:00,2,男性,四川,一级
6803758b000000001c0064b1,680516c0000000001f00eaac,5e4959ee000000000100a97e,又困,你是时间管理师，那我就是作业管理师[doge],1970-01-01 08:00:00,1,女性,广东,一级
6803758b000000001c0064b1,6804cb840000000013010d9f,5d53c1660000000016000cf2,哎呀妈呀粒子,我爱我爱我爱！,1970-01-01 08:00:00,0,未知,广东,一级
6803758b000000001c0064b1,6809e5d8000000001f00cc03,60a25b0600000000010061b7,小红薯60A27200,阿尼亚更适合你[doge],1970-01-01 08:00:00,0,男性,重庆,一级
6803758b000000001c0064b1,680381c500000000120124d0,67610f580000000018014546,永恒的胜利,上班族死宅牛马不会梦到大学生瑕蝶[偷笑R],1970-01-01 08:00:00,2,未知,广东,一级
6803758b000000001c0064b1,6804525a00000000040198fd,615a77a20000000002022dce,请叫我杂食动物,Cos这个谁敢碰你[流汗R],1970-01-01 08:00:00,0,女性,湖北,一级
6803758b000000001c0064b1,6803f985000000001f00b34b,63f072a9000000000f013798,momo,真好看呀[吧唧R],1970-01-01 08:00:00,1,女性,广东,一级
6803758b000000001c0064b1,680641b10000000020014e4f,66d57495000000001d020ec8,我真的是神明,[doge],1970-01-01 08:00:00,0,未知,湖南,一级
6803758b000000001c0064b1,6805a5af0000000012002b3d,639856ce0000000026012e07,蜡笔小新睡不醒,点赞置顶作品 点了在这里扣1我去点你[害羞R],1970-01-01 08:00:00,0,男性,山东,一级
6803758b000000001c0064b1,6804710e000000000401a0bb,61ff486a0000000010005b7a,仙白,什么歌？,1970-01-01 08:00:00,1,女性,河北,一级
6803758b000000001c0064b1,68046220000000000400fbbc,62f11389000000001f00630b,月流华,处一个coser是不是得看自己的各个实力啊[笑哭R],1970-01-01 08:00:00,1,男性,黑龙江,一级
6803758b000000001c0064b1,68056074000000001202153a,61b0b783000000001000754a,小红薯上的吸猫观众,这是盖章舞？[微笑R],1970-01-01 08:00:00,0,未知,福建,一级
6803758b000000001c0064b1,6804e0470000000004008c9b,64fda2660000000005002cee,江阳市场虾跑跑_海鲜批发,现在一堆不都是赛博化妆,1970-01-01 08:00:00,0,男性,上海,一级
6803758b000000001c0064b1,68089b55000000001202289a,5c0fb2f20000000006010c44,小红薯5C10CF3A,初中生吗？,1970-01-01 08:00:00,0,未知,广东,一级
